query|concept|titles|num_titles|concept_in|labeled_concept
脾胃 会 引起 什么 症状|脾胃不好的症状|脾胃 不好 的 症状 有哪些 有 问 必答 快速 问 医生 6 个 回答 提问 时间 ： 2016 年 03 月 26 日,脾胃 不好 的 症状 有哪些 有 问 必答 快速 问 医生 6 个 回答|2|contained_in_title"|脾胃不好的症状
花甲 河粉 的 做法 大全|花甲粉的做法|【 花甲 粉 的 做法 大全 花甲 粉 家常 做法 怎么 做 好 . . . 下 厨房|1|contained_in_title|花甲粉的做法
2k 魅族 手机 有哪些|2k屏幕手机|2k 屏幕 手机 有哪些 盘点 那些 搭载 超 清 2k 屏幕 的 手机  爱靓网|1|contained_in_title|2k屏幕手机
母子 相恋 电影|母子恋电影|母子 恋 电影 大全 母子 恋 电影 排行 榜|1|contained_in_title|母子恋电影
吃 鸡 gr 狙击 枪|吃鸡狙击枪|盘点 吃 鸡 狙击 枪 排名 多少 主播 倒 在 这 把 狙 下 !|1|contained_in_title|吃鸡狙击枪
杭 帮 菜 特点|杭帮菜特点|杭帮菜 的 特点 杭 帮 菜 特点 有哪些 杭帮菜 的 历史 经典 菜品 有哪些 . . .|1|same|杭帮菜特点
性感 主播 排行|性感女主播|盘点 娱乐 圈 十大 最 性感 女 主播 排行|1|contained_in_title|性感女主播
瓦楞纸 生产 厂家|瓦楞纸生产厂家|国内 瓦楞纸 生产 厂家 有哪些 详细 地址 百度 知道|1|same|瓦楞纸生产厂家
中南大学 专 垃 排名|中南大学专业|中南大学 专业 排名 最好 的 专业 有哪些 百度 知道|1|contained_in_title|中南大学专业
湖南 腊鱼 熏制 方法|湖南腊鱼的家常做法|湖南 烟熏 腊鱼 怎么 做 好吃 湖南腊鱼 的 家常 做法 大全 腌制 方法 爱厨爱家网|1|contained_in_title|湖南腊鱼的家常做法
临汾 附近 有 什么 景点|临汾景点|临汾 景点 推荐 / 旅游 景点 排名 临汾 景点 大全 / 旅游 . . . 携程|1|contained_in_title|临汾景点
科学 现象|科学现象|生活 中 的 科学 现象 有哪些 百度 知道,生活 中 的 科学 现象 有哪些 搜狗 问问|2|same"|科学现象
